OrderID,ShipCity,ShipRegion,ShipAddress,CustomerID,ShipName,Employee.Address,Employee.HomePhone,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipPostalCode,ShipCountry,Employee.LastName,Employee.FirstName,Employee.Title,Employee.TitleOfCourtesy,Employee.BirthDate,Employee.HireDate,Employee.City,Employee.Region,Employee.PostalCode,Employee.Country,Employee.Extension,Employee.Notes,Employee.ReportsTo,Employee.PhotoPath,Index,EmployeeID1,EmployeeID2,EmployeeID3,Year of OrderDate,Month of OrderDate,Day of OrderDate,Hour of OrderDate,Minute of OrderDate,Second of OrderDate
10338,Anchorage,AK,2743 Bering St.,       OLDWO              ,    Old World Delicatessen     ,4110 Old Redmond Rd.,/206. 555-8122,25-10-1996 05:00,22-11-1996 00:00,29-10-1996 00:00,3,84.21999875,99508,usa,peacock,margaret,sales representative,Mrs.,19-09-1937 00:00,03-05-1993 00:00,Redmond,WA,98052,USA,5176,Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.,2,http://accweb/emmployees/peacock.bmp,1,4,4,4,,,,,,
10441,Anchorage,AK,2743 Bering St.,OLDWO,Old World Delicatessen,722 Moss Bay Blvd.,/206. 555-3412,10-02-1997 00:40,24-03-1997 00:00,14-03-1997 00:00,2,73.02445555,99508,usa,leverling,janet,sales representative,Ms.,30-08-1963 00:00,01-04-1992 00:00,Kirkland,WA,98033,USA,3355,Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.,2,http://accweb/emmployees/leverling.bmp,2,3,3,3,,,,,,
10594,Anchorage,AK,2743 Bering St.,   OLDWO,  Old World Delicatessen,722 Moss Bay Blvd.,/206. 555-3412,09-07-1997 03:00,06-08-1997 00:00,16-07-1997 00:00,2,5.24,99508,usa,leverling,janet,sales representative,Ms.,30-08-1963 00:00,01-04-1992 00:00,Kirkland,WA,98033,USA,3355,Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.,2,http://accweb/emmployees/leverling.bmp,3,3,3,3,,,,,,
10808,Anchorage,AK,2743 Bering St., OLDWO,Old World Delicatessen,908 W. Capital Way,/206. 555-9482,01-01-1998 00:00,29-01-1998 00:00,09-01-1998 00:00,3,45.5322222,99508,usa,fuller,andrew,"vice president, sales",Dr.,19-02-1952 00:00,14-08-1992 00:00,Tacoma,WA,98401,USA,3457,"Andrew received his BTS commercial in 1974 and a Ph.D. in international marketing from the University of Dallas in 1981.  He is fluent in French and Italian and reads German.  He joined the company as a sales representative, was promoted to sales manager in January 1992 and to vice president of sales in March 1993.  Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.",,http://accweb/emmployees/fuller.bmp,4,2,2,2,,,,,,
10855,Anchorage,AK,2743 Bering St.,OLDWO             ,Old World Delicatessen,722 Moss Bay Blvd.,/206. 555-3412,27-22-1998  00:00:00,24-02-1998 00:00,04-02-1998 00:00,1,170.9711111,99508,usa,leverling,janet,sales representative,Ms.,30-08-1963 00:00,01-04-1992 00:00,Kirkland,WA,98033,USA,3355,Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.,2,http://accweb/emmployees/leverling.bmp,5,3,3,3,,,,,,
10305,Anchorage,AK,2743 Bering St., OLDWO,  Old World Delicatessen,4726 - 11th Ave. N.E.,/206. 555-1189,13-09-1996 00:00,11-10-1996 00:00,09-10-1996 00:00,3,257.62,99508,usa,callahan,laura,inside sales coordinator,Ms.,09-01-1958 00:00,05-03-1994 00:00,Seattle,WA,98105,USA,2344,Laura received a BA in psychology from the University of Washington.  She has also completed a course in business French.  She reads and writes French.,2,http://accweb/emmployees/davolio.bmp,6,8,8,8,,,,,,
10680,Anchorage,AK,2743 Bering St.,OLDWO,Old World Delicatessen,"507 - 20th Ave. E.
Apt. 2A",/206. 555-9857,24-09-1997 00:00,22-10-1997 00:00,26-09-1997 00:00,1,26.61444444,99508,usa,davolio,nancy,sales representative,Ms.,08-12-1948 00:00,01-05-1992 00:00,Seattle,WA,98122,USA,5467,"Education includes a BA in psychology from Colorado State University in 1970.  She also completed ""The Art of the Cold Call.""  Nancy is a member of Toastmasters International.",2,http://accweb/emmployees/davolio.bmp,7,1,1,1,,,,,,
10706,Anchorage,AK,2743 Bering St.,  OLDWO,Old World Delicatessen,4726 - 11th Ave. N.E.,/206. 555-1189,16-22-1997  00:00:00,13-11-1997 00:00,21-10-1997 00:00,3,135.63,99508,usa,callahan,laura,inside sales coordinator,Ms.,09-01-1958 00:00,05-03-1994 00:00,Seattle,WA,98105,USA,2344,Laura received a BA in psychology from the University of Washington.  She has also completed a course in business French.  She reads and writes French.,2,http://accweb/emmployees/davolio.bmp,8,8,8,8,,,,,,
10965,Anchorage,AK,2743 Bering St.,OLDWO,Old World Delicatessen,"Coventry House
Miner Rd.",/71. 555-7773,20-03-1998 00:00,17-04-1998 00:00,30-03-1998 00:00,3,144.38,99508,usa,suyama,michael,sales representative,Mr.,02-07-1963 00:00,17-10-1993 00:00,London,,EC2 7JR,UK,428,"Michael is a graduate of Sussex University (MA, economics, 1983) and the University of California at Los Angeles (MBA, marketing, 1986).  He has also taken the courses ""Multi-Cultural Selling"" and ""Time Management for the Sales Professional.""  He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",5,http://accweb/emmployees/davolio.bmp,9,6,6,6,,,,,,
11034,Anchorage,AK,2743 Bering St.,OLDWO,Old World Delicatessen,4726 - 11th Ave. N.E.,/206. 555-1189,20-04-1998 00:00,01-06-1998 00:00,27-04-1998 00:00,1,40.32,99508,usa,callahan,laura,inside sales coordinator,Ms.,09-01-1958 00:00,05-03-1994 00:00,Seattle,WA,98105,USA,2344,Laura received a BA in psychology from the University of Washington.  She has also completed a course in business French.  She reads and writes French.,2,http://accweb/emmployees/davolio.bmp,10,8,8,8,,,,,,
